sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,PHAdultMale,PHYearlingMale,PHFawnMale,PHAdultFemale,PHYearlingFemale,PHFawnFemale
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,653,0,611,0,3299,0,706,0,604,0,2,0,0,0,0,12,32,77,17,39
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,649,0,608,0,3300,0,714,0,616,0,2,0,0,0,0,16,35,76,9,27
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,652,0,610,0,3323,0,711,0,614,0,2,0,0,0,0,13,33,53,12,29
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,649,0,609,0,3318,0,710,0,617,0,2,0,0,0,0,16,34,58,13,26
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,649,0,608,0,3328,0,710,0,608,0,2,0,0,0,0,16,35,48,13,35
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,652,0,615,0,3307,0,708,0,620,0,2,0,0,0,0,13,28,69,15,23
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,652,0,597,0,3319,0,712,0,605,0,2,1,1,0.042,0,13,46,57,11,38
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,655,0,609,0,3299,0,713,0,617,0,2,0,0,0,0,10,34,77,10,26
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,652,0,614,0,3299,0,709,0,612,0,2,0,0,0,0,13,29,77,14,31
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,651,0,610,0,3290,0,708,0,611,0,2,0,0,0,0,14,33,86,15,32
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,649,0,615,0,3314,0,704,0,609,0,2,0,0,0,0,16,28,62,19,34
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,648,0,613,0,3303,0,710,0,601,0,2,0,0,0,0,17,30,73,13,42
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,651,0,608,0,3291,0,710,0,618,0,2,0,0,0,0,14,35,85,13,25
