sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,PHAdultMale,PHYearlingMale,PHFawnMale,PHAdultFemale,PHYearlingFemale,PHFawnFemale
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,552,0,383,0,2695,0,573,0,385,0,13,0,0,0,0,113,260,681,150,258
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,541,0,384,0,2700,0,574,0,360,0,11,0,0,0,0,124,259,676,149,283
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,540,0,384,0,2725,0,585,0,377,0,13,0,0,0,0,125,259,651,138,266
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,545,0,378,0,2708,0,586,0,400,0,12,0,0,0,0,120,265,668,137,243
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,530,0,379,0,2684,0,559,0,375,0,12,0,0,0,0,135,264,692,164,268
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,542,0,364,0,2662,0,575,0,388,0,12,0,0,0,0,123,279,714,148,255
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,522,0,380,0,2685,0,608,0,394,0,12,0,0,0,0,143,263,691,115,249
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,524,0,390,0,2711,0,582,0,375,0,12,0,0,0,0,141,253,665,141,268
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,527,0,370,0,2709,0,589,0,393,0,11,0,0,0,0,138,273,667,134,250
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,542,0,385,0,2696,0,593,0,388,0,12,0,0,0,0,123,258,680,130,255
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,529,0,377,0,2698,0,566,0,404,0,13,0,0,0,0,136,266,678,157,239
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,552,0,397,0,2718,0,568,0,409,0,11,1,1,0.042,0,113,246,658,155,234
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,540,0,363,0,2710,0,579,0,393,0,11,0,0,0,0,125,280,666,144,250
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,544,0,390,0,2671,0,565,0,386,0,12,1,1,0.042,0,121,253,705,158,257
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,522,0,383,0,2638,0,565,0,381,0,11,0,0,0,0,143,260,738,158,262
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,546,0,362,0,2721,0,588,0,367,0,13,1,1,0.042,0,119,281,655,135,276
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,538,0,383,0,2694,0,584,0,397,0,11,0,0,0,0,127,260,682,139,246
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,508,0,401,0,2705,0,569,0,386,0,10,0,0,0,0,157,242,671,154,257
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,553,0,384,0,2722,0,577,0,419,0,12,0,0,0,0,112,259,654,146,224
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,532,0,381,0,2681,0,571,0,373,0,12,0,0,0,0,133,262,695,152,270
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,553,0,400,0,2684,0,598,0,366,0,12,0,0,0,0,112,243,692,125,277
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,530,0,371,0,2716,0,578,0,396,0,11,0,0,0,0,135,272,660,145,247
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,520,0,396,0,2701,0,578,0,372,0,11,0,0,0,0,145,247,675,145,271
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,533,0,360,0,2708,0,554,0,386,0,12,0,0,0,0,132,283,668,169,257
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,520,0,388,0,2697,0,586,0,405,0,12,0,0,0,0,145,255,679,137,238
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,526,0,382,0,2715,0,589,0,382,0,13,0,0,0,0,139,261,661,134,261
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,542,0,386,0,2694,0,595,0,389,0,13,0,0,0,0,123,257,682,128,254
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,541,0,382,0,2705,0,564,0,386,0,12,0,0,0,0,124,261,671,159,257
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,525,0,400,0,2707,0,572,0,397,0,12,0,0,0,0,140,243,669,151,246
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2356,24,531,0,370,0,2693,0,580,0,409,0,12,0,0,0,0,134,273,683,143,234
