sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,PHAdultMale,PHYearlingMale,PHFawnMale,PHAdultFemale,PHYearlingFemale,PHFawnFemale
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,483,5,89,0,56,0,424,0,80,0,45,0,11,0,0,0,57,55,145,329,61,158
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,488,5,92,0,46,0,469,0,87,0,39,0,13,0,0,0,52,52,155,284,54,164
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,482,5,81,0,44,0,421,0,82,0,47,0,13,0,0,0,58,63,157,332,59,156
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,489,5,85,0,40,0,460,0,79,0,45,0,11,0,0,0,51,59,161,293,62,158
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,496,5,91,0,32,0,440,0,88,0,50,0,13,0,0,0,44,53,169,313,53,153
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,476,5,81,0,45,0,452,0,88,0,53,0,12,0,0,0,64,63,156,301,53,150
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,482,5,95,0,36,0,436,0,85,0,53,0,13,0,0,0,58,49,165,317,56,150
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,490,5,87,0,51,0,465,0,89,0,52,0,9,0,0,0,50,57,150,288,52,151
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,496,5,83,0,43,0,468,0,78,0,40,0,13,1,1,0.2,44,61,158,285,63,163
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,489,5,91,0,44,0,473,0,87,0,55,0,14,0,0,0,51,53,157,280,54,148
