sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,PHAdultMale,PHYearlingMale,PHFawnMale,PHAdultFemale,PHYearlingFemale,PHFawnFemale
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,459,5,138,0,87,0,666,0,139,0,64,0,3,0,0,0,1897,527,556,2710,584,579
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,478,5,130,0,93,0,669,0,160,0,81,0,1,0,0,0,1878,535,550,2707,563,562
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,476,5,143,0,81,0,673,0,143,0,88,0,1,0,0,0,1880,522,562,2703,580,555
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,465,5,116,0,83,0,690,0,137,0,88,0,1,0,0,0,1891,549,560,2686,586,555
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,461,5,119,0,69,0,712,0,126,0,90,0,3,0,0,0,1895,546,574,2664,597,553
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,464,5,135,0,78,0,653,0,154,0,88,0,1,0,0,0,1892,530,565,2723,569,555
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,471,5,156,0,90,0,681,0,145,0,77,0,2,0,0,0,1885,509,553,2695,578,566
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,408,5,144,0,100,0,692,0,137,0,89,0,3,0,0,0,1948,521,543,2684,586,554
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,466,5,138,0,91,0,668,0,143,0,72,0,3,0,0,0,1890,527,552,2708,580,571
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,446,5,134,0,81,0,757,0,150,0,77,0,3,0,0,0,1910,531,562,2619,573,566
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,450,5,153,0,91,0,691,0,150,0,84,0,3,0,0,0,1906,512,552,2685,573,559
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,479,5,137,0,84,0,678,0,134,0,79,0,1,0,0,0,1877,528,559,2698,589,564
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,492,5,112,0,88,0,688,0,156,0,85,0,6,0,0,0,1864,553,555,2688,567,558
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,451,5,143,0,87,0,659,0,145,0,83,0,4,0,0,0,1905,522,556,2717,578,560
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,455,5,128,0,97,0,669,0,154,0,96,0,1,0,0,0,1901,537,546,2707,569,547
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,499,5,130,0,85,0,677,0,137,0,79,0,4,0,0,0,1857,535,558,2699,586,564
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,469,5,136,0,74,0,658,0,128,0,88,0,2,0,0,0,1887,529,569,2718,595,555
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,478,5,114,0,81,0,710,0,131,0,80,0,2,0,0,0,1878,551,562,2666,592,563
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,483,5,139,0,70,0,721,0,150,0,84,0,2,0,0,0,1873,526,573,2655,573,559
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,500,5,124,0,95,0,645,0,142,0,80,0,1,0,0,0,1856,541,548,2731,581,563
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,439,5,147,0,88,0,711,0,143,0,71,0,6,0,0,0,1917,518,555,2665,580,572
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,488,5,139,0,94,0,666,0,163,0,77,0,0,0,0,0,1868,526,549,2710,560,566
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,473,5,144,0,84,0,683,0,158,0,84,0,2,0,0,0,1883,521,559,2693,565,559
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,495,5,153,0,79,0,696,0,140,0,87,0,1,0,0,0,1861,512,564,2680,583,556
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,472,5,145,0,85,0,630,0,141,0,89,0,4,0,0,0,1884,520,558,2746,582,554
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,473,5,125,0,81,0,686,0,148,0,76,0,2,0,0,0,1883,540,562,2690,575,567
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,467,5,124,0,86,0,687,0,142,0,86,0,0,0,0,0,1889,541,557,2689,581,557
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,461,5,108,0,79,0,664,0,158,0,75,0,1,0,0,0,1895,557,564,2712,565,568
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,460,5,134,0,97,0,692,0,138,0,83,0,1,0,0,0,1896,531,546,2684,585,560
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,486,5,147,0,82,0,694,0,127,0,94,0,0,0,0,0,1870,518,561,2682,596,549
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,513,5,141,0,86,0,699,0,144,0,76,0,1,0,0,0,1843,524,557,2677,579,567
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,486,5,121,0,79,0,682,0,142,0,74,0,2,0,0,0,1870,544,564,2694,581,569
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,460,5,134,0,88,0,675,0,124,0,68,0,2,0,0,0,1896,531,555,2701,599,575
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,477,5,122,0,79,0,690,0,135,0,89,0,2,0,0,0,1879,543,564,2686,588,554
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,488,5,137,0,87,0,702,0,151,0,89,0,1,0,0,0,1868,528,556,2674,572,554
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,496,5,113,0,93,0,659,0,146,0,87,0,3,0,0,0,1860,552,550,2717,577,556
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,473,5,147,0,78,0,653,0,136,0,72,0,3,0,0,0,1883,518,565,2723,587,571
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,414,5,115,0,98,0,695,0,143,0,89,0,2,0,0,0,1942,550,545,2681,580,554
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,518,5,146,0,72,0,685,0,143,0,75,0,0,0,0,0,1838,519,571,2691,580,568
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,441,5,126,0,85,0,690,0,152,0,89,0,3,0,0,0,1915,539,558,2686,571,554
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,438,5,141,0,95,0,682,0,130,0,81,0,2,0,0,0,1918,524,548,2694,593,562
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,479,5,140,0,72,0,689,0,130,0,104,0,2,0,0,0,1877,525,571,2687,593,539
