sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,PHAdultMale,PHYearlingMale,PHFawnMale,PHAdultFemale,PHYearlingFemale,PHFawnFemale
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,130,0,164,0,693,0,129,0,157,0,14,0,0,0,0,14,37,60,12,46
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,131,0,165,0,677,0,129,0,175,0,13,0,0,0,0,13,36,76,12,28
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,127,0,167,0,683,0,128,0,162,0,14,0,0,0,0,17,34,70,13,41
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,129,0,161,0,677,0,129,0,167,0,14,0,0,0,0,15,40,76,12,36
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,130,0,157,0,677,0,132,0,161,0,14,0,0,0,0,14,44,76,9,42
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,125,0,157,0,680,0,131,0,172,0,14,0,0,0,0,19,44,73,10,31
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,135,0,169,0,680,0,123,0,172,0,14,0,0,0,0,9,32,73,18,31
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,132,0,163,0,672,0,131,0,162,0,14,0,0,0,0,12,38,81,10,41
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,126,0,158,0,683,0,131,0,166,0,13,0,0,0,0,18,43,70,10,37
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,134,0,153,0,681,0,129,0,161,0,13,0,0,0,0,10,48,72,12,42
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,129,0,160,0,669,0,129,0,171,0,14,0,0,0,0,15,41,84,12,32
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,126,0,163,0,680,0,126,0,165,0,14,0,0,0,0,18,38,73,15,38
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,125,0,169,0,686,0,125,0,159,0,13,0,0,0,0,19,32,67,16,44
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,131,0,156,0,684,0,126,0,163,0,13,0,0,0,0,13,45,69,15,40
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,126,0,158,0,682,0,129,0,162,0,13,0,0,0,0,18,43,71,12,41
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,124,0,166,0,682,0,124,0,164,0,13,0,0,0,0,20,35,71,17,39
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,128,0,158,0,673,0,134,0,162,0,14,0,0,0,0,16,43,80,7,41
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,123,0,158,0,678,0,128,0,163,0,13,0,0,0,0,21,43,75,13,40
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,124,0,154,0,679,0,122,0,165,0,13,0,0,0,0,20,47,74,19,38
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,125,0,161,0,680,0,128,0,158,0,14,0,0,0,0,19,40,73,13,45
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,123,0,164,0,677,0,128,0,147,0,13,0,0,0,0,21,37,76,13,56
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,129,0,168,0,681,0,126,0,169,0,13,0,0,0,0,15,33,72,15,34
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,136,0,159,0,682,0,127,0,159,0,14,0,0,0,0,8,42,71,14,44
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,131,0,155,0,666,0,127,0,167,0,13,0,0,0,0,13,46,87,14,36
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,128,0,165,0,679,0,131,0,158,0,14,1,1,0.2,0,16,36,74,10,45
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,133,0,158,0,692,0,126,0,161,0,14,0,0,0,0,11,43,61,15,42
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,135,0,170,0,679,0,129,0,150,0,14,0,0,0,0,9,31,74,12,53
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,128,0,162,0,683,0,124,0,169,0,14,0,0,0,0,16,39,70,17,34
