sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,PHAdultMale,PHYearlingMale,PHFawnMale,PHAdultFemale,PHYearlingFemale,PHFawnFemale
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2356,24,521,0,387,0,2746,0,581,0,385,0,25,0,0,0,0,144,256,630,142,258
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2356,24,514,0,385,0,2714,0,582,0,391,0,25,0,0,0,0,151,258,662,141,252
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2356,24,538,0,373,0,2727,0,589,0,387,0,25,0,0,0,0,127,270,649,134,256
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2356,24,536,0,377,0,2696,0,572,0,395,0,24,0,0,0,0,129,266,680,151,248
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2356,24,522,0,392,0,2661,0,573,0,407,0,22,0,0,0,0,143,251,715,150,236
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2356,24,527,0,392,0,2690,0,572,0,363,0,24,0,0,0,0,138,251,686,151,280
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2356,24,534,0,394,0,2720,0,568,0,392,0,25,1,1,0.042,0,131,249,656,155,251
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2356,24,556,0,380,0,2728,0,579,0,382,0,23,0,0,0,0,109,263,648,144,261
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2356,24,525,0,382,0,2728,0,566,0,373,0,23,1,1,0.042,0,140,261,648,157,270
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2356,24,537,0,390,0,2688,0,571,0,378,0,23,0,0,0,0,128,253,688,152,265
