sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,PHAdultMale,PHYearlingMale,PHFawnMale,PHAdultFemale,PHYearlingFemale,PHFawnFemale
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,99,0,79,0,536,0,99,0,64,0,12,0,0,0,0,45,122,217,42,139
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,106,0,89,0,519,0,104,0,82,0,13,0,0,0,0,38,112,234,37,121
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,102,0,73,0,520,0,102,0,77,0,13,0,0,0,0,42,128,233,39,126
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,96,0,74,0,523,0,102,0,77,0,12,0,0,0,0,48,127,230,39,126
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,100,0,82,0,528,0,101,0,92,0,13,0,0,0,0,44,119,225,40,111
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,97,0,86,0,536,0,95,0,70,0,13,0,0,0,0,47,115,217,46,133
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,90,0,66,0,514,0,100,0,89,0,12,0,0,0,0,54,135,239,41,114
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,106,0,82,0,526,0,90,0,79,0,12,0,0,0,0,38,119,227,51,124
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,92,0,86,0,542,0,94,0,85,0,12,1,1,0.2,0,52,115,211,47,118
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,98,0,87,0,523,0,95,0,84,0,12,1,1,0.2,0,46,114,230,46,119
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,94,0,81,0,513,0,98,0,91,0,13,0,0,0,0,50,120,240,43,112
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,96,0,83,0,527,0,93,0,84,0,12,0,0,0,0,48,118,226,48,119
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,98,0,84,0,517,0,101,0,83,0,12,0,0,0,0,46,117,236,40,120
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,104,0,81,0,546,0,97,0,75,0,12,0,0,0,0,40,120,207,44,128
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,102,0,78,0,530,0,96,0,74,0,13,0,0,0,0,42,123,223,45,129
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,99,0,79,0,516,0,109,0,83,0,12,0,0,0,0,45,122,237,32,120
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,101,0,83,0,545,0,98,0,86,0,13,0,0,0,0,43,118,208,43,117
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,96,0,76,0,521,0,106,0,87,0,12,0,0,0,0,48,125,232,35,116
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,103,0,73,0,525,0,88,0,68,0,11,0,0,0,0,41,128,228,53,135
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,99,0,82,0,529,0,89,0,85,0,13,0,0,0,0,45,119,224,52,118
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,112,0,85,0,536,0,96,0,76,0,14,0,0,0,0,32,116,217,45,127
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,95,0,84,0,525,0,93,0,83,0,13,0,0,0,0,49,117,228,48,120
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,103,0,80,0,541,0,90,0,78,0,12,0,0,0,0,41,121,212,51,125
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,95,0,91,0,539,0,95,0,84,0,12,0,0,0,0,49,110,214,46,119
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,98,0,88,0,532,0,97,0,90,0,11,0,0,0,0,46,113,221,44,113
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,90,0,77,0,508,0,93,0,89,0,11,0,0,0,0,54,124,245,48,114
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,98,0,87,0,544,0,102,0,77,0,13,0,0,0,0,46,114,209,39,126
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,91,0,84,0,541,0,102,0,82,0,14,0,0,0,0,53,117,212,39,121
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,94,0,81,0,519,0,108,0,77,0,13,0,0,0,0,50,120,234,33,126
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,103,0,83,0,552,0,102,0,78,0,12,0,0,0,0,41,118,201,39,125
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,101,0,80,0,506,0,98,0,78,0,13,0,0,0,0,43,121,247,43,125
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,98,0,92,0,538,0,103,0,72,0,12,0,0,0,0,46,109,215,38,131
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,103,0,77,0,534,0,108,0,84,0,13,0,0,0,0,41,124,219,33,119
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,90,0,78,0,526,0,93,0,85,0,12,0,0,0,0,54,123,227,48,118
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,98,0,85,0,518,0,101,0,72,0,13,0,0,0,0,46,116,235,40,131
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,98,0,72,0,520,0,92,0,75,0,12,0,0,0,0,46,129,233,49,128
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,96,0,82,0,501,0,104,0,91,0,12,0,0,0,0,48,119,252,37,112
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,89,0,72,0,527,0,98,0,72,0,10,0,0,0,0,55,129,226,43,131
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,107,0,70,0,517,0,93,0,83,0,11,0,0,0,0,37,131,236,48,120
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,110,0,87,0,523,0,105,0,77,0,12,0,0,0,0,34,114,230,36,126
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,100,0,73,0,509,0,104,0,86,0,13,0,0,0,0,44,128,244,37,117
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,103,0,82,0,553,0,93,0,86,0,13,1,1,0.2,0,41,119,200,48,117
