sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,PHAdultMale,PHYearlingMale,PHFawnMale,PHAdultFemale,PHYearlingFemale,PHFawnFemale
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,486,5,126,0,81,0,679,0,126,0,77,0,8,0,0,0,1870,539,562,2697,597,566
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,490,5,126,0,94,0,657,0,138,0,96,0,4,0,0,0,1866,539,549,2719,585,547
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,493,5,134,0,87,0,668,0,147,0,76,0,3,0,0,0,1863,531,556,2708,576,567
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,461,5,133,0,92,0,714,0,133,0,85,0,6,0,0,0,1895,532,551,2662,590,558
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,460,5,114,0,82,0,681,0,139,0,82,0,5,0,0,0,1896,551,561,2695,584,561
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,476,5,137,0,91,0,670,0,146,0,87,0,2,0,0,0,1880,528,552,2706,577,556
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,469,5,136,0,86,0,635,0,160,0,96,0,6,0,0,0,1887,529,557,2741,563,547
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,437,5,133,0,93,0,632,0,149,0,67,0,2,0,0,0,1919,532,550,2744,574,576
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,471,5,141,0,93,0,675,0,150,0,87,0,5,0,0,0,1885,524,550,2701,573,556
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,463,5,124,0,85,0,717,0,134,0,74,0,4,0,0,0,1893,541,558,2659,589,569
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,471,5,143,0,76,0,724,0,142,0,96,0,5,0,0,0,1885,522,567,2652,581,547
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,476,5,138,0,81,0,665,0,153,0,83,0,6,0,0,0,1880,527,562,2711,570,560
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,483,5,129,0,78,0,651,0,144,0,94,0,6,0,0,0,1873,536,565,2725,579,549
