sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,PHAdultMale,PHYearlingMale,PHFawnMale,PHAdultFemale,PHYearlingFemale,PHFawnFemale
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2132,21,381,0,154,0,2022,0,440,0,149,0,10,0,0,0,224,284,489,1354,283,494
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2121,21,423,0,170,0,2052,0,407,0,140,0,12,1,1,0.048,235,242,473,1324,316,503
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2131,21,397,0,154,0,2015,0,434,0,157,0,10,1,1,0.048,225,268,489,1361,289,486
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2119,21,390,0,153,0,1973,0,446,0,168,0,10,0,0,0,237,275,490,1403,277,475
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2112,21,404,0,127,0,2012,0,446,0,148,0,11,0,0,0,244,261,516,1364,277,495
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2155,21,432,0,137,0,2048,0,443,0,158,0,11,0,0,0,201,233,506,1328,280,485
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2131,21,403,0,157,0,2045,0,417,0,148,0,13,0,0,0,225,262,486,1331,306,495
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2125,21,397,0,150,0,2029,0,445,0,168,0,7,0,0,0,231,268,493,1347,278,475
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2111,21,385,0,148,0,2003,0,453,0,169,0,8,0,0,0,245,280,495,1373,270,474
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2127,21,404,0,165,0,2070,0,445,0,139,0,10,0,0,0,229,261,478,1306,278,504
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2139,21,410,0,155,0,2040,0,425,0,138,0,13,0,0,0,217,255,488,1336,298,505
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2122,21,396,0,162,0,2055,0,454,0,157,0,10,0,0,0,234,269,481,1321,269,486
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2133,21,399,0,155,0,1996,0,418,0,161,0,10,0,0,0,223,266,488,1380,305,482
Hardangervidda,2356,665,643,3376,723,643,9,1,0,3,0,0,13,random_dist,random_sampling,2123,21,402,0,164,0,2031,0,447,0,159,0,10,0,0,0,233,263,479,1345,276,484
