sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,PHAdultMale,PHYearlingMale,PHFawnMale,PHAdultFemale,PHYearlingFemale,PHFawnFemale
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,115,0,125,0,607,0,119,0,123,0,13,0,0,0,0,29,76,146,22,80
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,106,0,124,0,606,0,111,0,130,0,12,0,0,0,0,38,77,147,30,73
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,114,0,129,0,586,0,110,0,120,0,13,0,0,0,0,30,72,167,31,83
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,122,0,117,0,589,0,110,0,118,0,14,0,0,0,0,22,84,164,31,85
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,118,0,120,0,599,0,112,0,116,0,13,0,0,0,0,26,81,154,29,87
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,119,0,117,0,580,0,112,0,128,0,13,0,0,0,0,25,84,173,29,75
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,107,0,119,0,582,0,116,0,123,0,14,0,0,0,0,37,82,171,25,80
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,112,0,116,0,596,0,110,0,133,0,12,0,0,0,0,32,85,157,31,70
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,113,0,129,0,604,0,106,0,123,0,12,0,0,0,0,31,72,149,35,80
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,111,0,122,0,607,0,109,0,119,0,13,0,0,0,0,33,79,146,32,84
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,125,0,120,0,599,0,118,0,120,0,13,0,0,0,0,19,81,154,23,83
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,117,0,114,0,590,0,110,0,128,0,13,0,0,0,0,27,87,163,31,75
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,113,0,125,0,608,0,118,0,118,0,13,0,0,0,0,31,76,145,23,85
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,113,0,117,0,591,0,109,0,115,0,14,1,1,0.2,0,31,84,162,32,88
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,117,0,113,0,617,0,114,0,112,0,11,0,0,0,0,27,88,136,27,91
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,109,0,117,0,594,0,122,0,101,0,10,0,0,0,0,35,84,159,19,102
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,113,0,116,0,601,0,110,0,125,0,13,0,0,0,0,31,85,152,31,78
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,102,0,132,0,595,0,120,0,121,0,13,0,0,0,0,42,69,158,21,82
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,117,0,119,0,590,0,107,0,129,0,14,0,0,0,0,27,82,163,34,74
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,118,0,119,0,595,0,117,0,119,0,14,0,0,0,0,26,82,158,24,84
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,129,0,115,0,623,0,115,0,119,0,13,0,0,0,0,15,86,130,26,84
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,108,0,124,0,574,0,113,0,130,0,13,0,0,0,0,36,77,179,28,73
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,112,0,125,0,605,0,117,0,110,0,13,0,0,0,0,32,76,148,24,93
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,124,0,122,0,618,0,110,0,116,0,12,0,0,0,0,20,79,135,31,87
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,115,0,119,0,592,0,118,0,129,0,13,0,0,0,0,29,82,161,23,74
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,116,0,122,0,590,0,111,0,133,0,10,0,0,0,0,28,79,163,30,70
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,99,0,112,0,608,0,121,0,124,0,14,0,0,0,0,45,89,145,20,79
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,113,0,121,0,608,0,116,0,129,0,13,0,0,0,0,31,80,145,25,74
