sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,PHAdultMale,PHYearlingMale,PHFawnMale,PHAdultFemale,PHYearlingFemale,PHFawnFemale
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,141,0,189,0,732,0,138,0,195,0,13,0,0,0,0,3,12,21,3,8
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,143,0,195,0,744,0,138,0,189,0,14,0,0,0,0,1,6,9,3,14
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,139,0,193,0,738,0,138,0,191,0,14,0,0,0,0,5,8,15,3,12
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,143,0,186,0,738,0,138,0,188,0,14,0,0,0,0,1,15,15,3,15
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,143,0,192,0,738,0,137,0,194,0,14,0,0,0,0,1,9,15,4,9
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,143,0,190,0,739,0,141,0,193,0,14,0,0,0,0,1,11,14,0,10
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,141,0,191,0,736,0,136,0,192,0,14,0,0,0,0,3,10,17,5,11
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,141,0,187,0,740,0,136,0,189,0,14,0,0,0,0,3,14,13,5,14
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,141,0,191,0,739,0,138,0,191,0,14,0,0,0,0,3,10,14,3,12
Nordfjella Zone 1,540,144,201,753,141,203,9,1,0,4,0,0,14,random_dist,random_sampling,540,5,142,0,188,0,736,0,140,0,197,0,14,0,0,0,0,2,13,17,1,6
