sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,PHAdultMale,PHYearlingMale,PHFawnMale,PHAdultFemale,PHYearlingFemale,PHFawnFemale
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,472,0,236,0,2395,0,501,0,273,0,2,0,0,0,0,193,407,981,222,370
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,462,0,266,0,2370,0,509,0,266,0,2,0,0,0,0,203,377,1006,214,377
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,451,0,252,0,2405,0,525,0,229,0,2,0,0,0,0,214,391,971,198,414
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,454,0,263,0,2373,0,498,0,279,0,2,0,0,0,0,211,380,1003,225,364
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,459,0,246,0,2331,0,481,0,257,0,2,0,0,0,0,206,397,1045,242,386
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,467,0,279,0,2342,0,496,0,246,0,2,0,0,0,0,198,364,1034,227,397
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,449,0,263,0,2378,0,494,0,276,0,2,0,0,0,0,216,380,998,229,367
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,448,0,272,0,2328,0,490,0,265,0,2,0,0,0,0,217,371,1048,233,378
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,467,0,267,0,2395,0,504,0,259,0,2,0,0,0,0,198,376,981,219,384
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,463,0,247,0,2366,0,506,0,238,0,2,0,0,0,0,202,396,1010,217,405
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,457,0,269,0,2408,0,504,0,255,0,2,0,0,0,0,208,374,968,219,388
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,466,0,252,0,2340,0,506,0,269,0,2,0,0,0,0,199,391,1036,217,374
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,461,0,251,0,2377,0,514,0,263,0,2,0,0,0,0,204,392,999,209,380
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,446,0,233,0,2330,0,488,0,243,0,2,0,0,0,0,219,410,1046,235,400
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,467,0,239,0,2377,0,507,0,249,0,2,0,0,0,0,198,404,999,216,394
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,480,0,254,0,2367,0,512,0,255,0,2,0,0,0,0,185,389,1009,211,388
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,436,0,267,0,2341,0,510,0,283,0,2,0,0,0,0,229,376,1035,213,360
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,461,0,258,0,2388,0,495,0,265,0,2,0,0,0,0,204,385,988,228,378
Hardangervidda,2356,665,643,3376,723,643,2,0,0,0,0,0,2,random_dist,random_sampling,2356,24,478,0,251,0,2357,0,506,0,263,0,2,0,0,0,0,187,392,1019,217,380
