sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,PHAdultMale,PHYearlingMale,PHFawnMale,PHAdultFemale,PHYearlingFemale,PHFawnFemale
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2078,21,407,0,152,0,2050,0,439,0,149,0,21,0,0,0,278,258,491,1326,284,494
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2114,21,406,0,173,0,2041,0,423,0,147,0,17,0,0,0,242,259,470,1335,300,496
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2130,21,389,0,133,0,2038,0,432,0,137,0,20,0,0,0,226,276,510,1338,291,506
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2144,21,407,0,159,0,1970,0,426,0,144,0,20,0,0,0,212,258,484,1406,297,499
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2119,21,393,0,146,0,2008,0,427,0,138,0,18,0,0,0,237,272,497,1368,296,505
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2118,21,385,0,154,0,2000,0,438,0,135,0,23,0,0,0,238,280,489,1376,285,508
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2121,21,405,0,143,0,2058,0,426,0,167,0,23,0,0,0,235,260,500,1318,297,476
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2135,21,407,0,146,0,2039,0,442,0,170,0,22,0,0,0,221,258,497,1337,281,473
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2117,21,398,0,167,0,2033,0,421,0,162,0,20,0,0,0,239,267,476,1343,302,481
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2123,21,412,0,165,0,2036,0,441,0,145,0,21,0,0,0,233,253,478,1340,282,498
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2106,21,398,0,162,0,2057,0,442,0,142,0,19,0,0,0,250,267,481,1319,281,501
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2084,21,413,0,135,0,2048,0,417,0,151,0,22,0,0,0,272,252,508,1328,306,492
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2118,21,416,0,130,0,1980,0,432,0,171,0,21,0,0,0,238,249,513,1396,291,472
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2119,21,383,0,157,0,2046,0,420,0,155,0,19,0,0,0,237,282,486,1330,303,488
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2117,21,395,0,165,0,2052,0,450,0,173,0,18,0,0,0,239,270,478,1324,273,470
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2113,21,383,0,171,0,2018,0,456,0,170,0,18,0,0,0,243,282,472,1358,267,473
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2131,21,404,0,160,0,2043,0,419,0,162,0,23,0,0,0,225,261,483,1333,304,481
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2139,21,390,0,167,0,1988,0,464,0,158,0,19,0,0,0,217,275,476,1388,259,485
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2118,21,385,0,132,0,2007,0,422,0,159,0,19,0,0,0,238,280,511,1369,301,484
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2103,21,400,0,145,0,1992,0,457,0,167,0,17,0,0,0,253,265,498,1384,266,476
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2109,21,372,0,170,0,1967,0,420,0,154,0,18,0,0,0,247,293,473,1409,303,489
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2119,21,395,0,143,0,2014,0,429,0,167,0,21,0,0,0,237,270,500,1362,294,476
Hardangervidda,2356,665,643,3376,723,643,18,1,0,6,0,0,25,random_dist,random_sampling,2109,21,408,0,141,0,2040,0,434,0,159,0,22,0,0,0,247,257,502,1336,289,484
